Parent_Grad,Gender,Income_Level,Num_Siblings,Graduated
2,0,1,4,No
0,0,2,4,Yes
0,0,2,4,Yes
0,0,1,4,Yes
0,0,1,4,No
2,1,2,0,Yes
0,0,2,4,Yes
2,1,2,1,Yes
2,1,2,0,Yes
0,1,1,8,No
0,0,2,8,Yes
1,0,2,2,Yes
1,0,2,2,Yes
2,0,2,4,Yes
2,0,2,4,Yes
2,1,1,4,No
2,1,2,1,Yes
2,1,2,1,Yes
1,0,2,3,Yes
1,1,2,3,Yes
1,0,2,3,Yes
2,0,2,1,Yes
1,0,2,0,Yes
1,0,2,1,Yes
0,0,2,2,Yes
0,0,2,1,Yes
0,0,1,0,No
0,0,1,2,No
0,1,1,2,No
2,0,2,0,Yes
2,0,1,1,Yes
2,0,1,1,No
3,0,0,0,Yes
5,0,0,0,Yes
0,0,0,0,Yes
2,1,0,0,Yes
0,1,1,1,No
3,1,1,0,Yes
4,0,1,2,No
3,0,2,2,No
0,0,0,1,No
0,1,0,1,No
1,1,1,0,Yes
0,0,0,0,Yes
0,1,1,1,Yes
0,0,0,1,Yes
0,0,2,1,No
1,1,2,1,Yes
3,1,1,3,Yes
3,0,0,3,Yes
3,0,0,3,Yes
1,0,0,0,Yes
2,1,0,0,Yes
2,0,1,0,Yes
2,0,0,1,Yes
2,0,0,1,Yes
0,1,1,4,No
0,1,0,4,No
0,0,0,4,No
0,0,0,4,Yes
